model,task_id,short_name,group,benchmark,baseline_score,sro_score,baseline_tokens,sro_tokens,baseline_req,sro_req,baseline_turns,sro_turns,note
Qwen,task_21,T21 openclaw,SRO win,PinchBench/QwenClawBench,0.944,1.0,72865,34154,7,4,,,slots collect; 53.1% token reduction
Qwen,task_00012,T12 stock audit,SRO win,QwenClawBench,0.358,1.0,124843,39085,10,4,,,audit closure win
Qwen,task_00036,T36 file size,Gate/pass,QwenClawBench,0.6875,0.6875,51881,44265,6,5,,,native gate retest; 14.7% token reduction
Qwen,task_00059,T59 discount,SRO win,QwenClawBench,0.5,0.533,343507,104449,23,8,,,selection+script win
Qwen,task_00067,T67 SPARQL,Gate/pass,QwenClawBench,0.75,0.875,89871,89999,10,10,,,gate fix; near baseline
Qwen,task_00073,T73 P&L,Gate/pass,QwenClawBench,0.883,0.904,336436,259955,11,15,,,gate pass; 22.7% token reduction
Qwen,task_00086,T86 cmd sec,SRO win,QwenClawBench,0.309,0.954,140514,90695,8,5,,,command-security closure win
Qwen,task_00098,T98 book rec,Boundary,QwenClawBench,0.917,1.0,186005,143502,14,10,,,closure helped; 22.9% token reduction
DeepSeek-V4-Flash,task_21,T21 openclaw,Gate/pass,PinchBench/QwenClawBench,1.0,1.0,466144,99113,22,6,,,DeepSeek-V4-Flash retest; gate -79% tokens
DeepSeek-V4-Flash,task_00012,T12 stock audit,SRO win,QwenClawBench,0.8021,1.0,234370,89103,13,5,,,DeepSeek-V4-Flash retest; SRO closure win +0.198; -62% tokens
DeepSeek-V4-Flash,task_00036,T36 file size,Gate/pass,QwenClawBench,0.50,0.50,53738,52637,5,5,,,DeepSeek-V4-Flash retest; native bypass; same score
DeepSeek-V4-Flash,task_00059,T59 discount,Gate/pass,QwenClawBench,0.650,0.708,281061,166078,11,7,,,Flash T59 retest; gate bypass natve 7req vs BL 11req
DeepSeek-V4-Flash,task_00067,T67 SPARQL,Gate/pass,QwenClawBench,0.4958,0.5583,163928,108289,8,6,,,"DeepSeek-V4-Flash retest; gate +0.062, -34% tokens"
DeepSeek-V4-Flash,task_00058,T58 DiD,Gate/pass,QwenClawBench,1.0,1.0,1428715,479539,47,24,,,DeepSeek-V4-Flash retest; gate -66% tokens
DeepSeek-V4-Flash,task_00073,T73 P&L,Gate/pass,QwenClawBench,0.917,1.000,562285,454884,23,16,,,Flash T73 retest; BL 0.917/562K vs ForceSRO 1.0/455K
DeepSeek-V4-Flash,task_00086,T86 cmd sec,Gate/pass,QwenClawBench,0.2332,0.3600,659904,304974,25,10,,,"DeepSeek-V4-Flash retest; both low (cmd-sec hard), gate -54% tokens"
DeepSeek-V4-Flash,task_00098,T98 book rec,Gate/pass,QwenClawBench,0.7067,0.7933,387489,355997,19,16,,,"DeepSeek-V4-Flash retest; gate +0.087, -8% tokens"
DeepSeek-V4-Flash,task_loogle_shortdep_fall_of_outremer_5q,L5Q LooGLE,SRO win,LooGLE/QwenClawBench,1.0,1.0,263004,45997,17,4,,,DeepSeek-V4-Flash retest; gate -83% tokens
DeepSeek-V4-Flash,task_loogle_shortdep_fall_of_outremer_3q_followup,L3Q LooGLE,Gate/pass,LooGLE/QwenClawBench,1.0,1.0,248460,65147,14,5,,,DeepSeek-V4-Flash retest; gate -74% tokens
Qwen,task_loogle_shortdep_fall_of_outremer_3q_followup,L3Q LooGLE,SRO win,LooGLE/QwenClawBench,0.0,1.0,621281,27511,50,4,,,Qwen3.5-35B-A3B local readerfix; matched fixed runset baseline exhausted 50 tool calls/no answer; SRO collect answer-shaped digest; score +1.0; 95.6% token reduction
